Title,Title_link,date,Rating,Description_of_duration,authorInfo,Positive_Review,pos_count,Negative_Review,neg_count,UI_TEXT,reviewBodyCell,author_location,authorLocation_current,Outlook,CEO_Approval
"""Nice work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35791294.htm,9 September 2020,5.0,I have been working at Walmart full-time,Current Employee - Nothing Specific,good work life balance and nice salary,1,nothing to say about for cons,0,Helpful,,in New Delhi,New Delhi,,
"""Supportive teams!""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36504210.htm,29 September 2020,4.0,I have been working at Walmart full-time,Current Employee - Senior Product Manager,love the work love the sense of involvement  kind management,1,compensation is not on par with best,0,Helpful,,,,,
"""Great place if you want to grow""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36341070.htm,24 September 2020,4.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Senior Software Engineer,if you want to work you will find the right set of people,1,does not penalize on poor performance,0,Helpful,Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Request for management to create a survey to save the work environment""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36366908.htm,25 September 2020,3.0,I have been working at Walmart full-time for less than a year,Current Employee - Anonymous Employee,good benefits being full time employee,1,being micro managed in the team,0,Helpful (1),Doesn't Recommend,in Bangalore,Bangalore,Neutral Outlook,Approves of CEO
"""Unfair rating practices""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36312745.htm,24 September 2020,3.0,I worked at Walmart full-time for more than 5 years,Former Employee - Software Engineer,before wfh  office facilities and perks like free food  cabs  gaming area  gym etc,1,rating system if not up to the mark  even if your contributions have benefitted the company in a lot of ways and if your 360 peer feedback is great  managers can give you bad ratings forcing you to leave if you are not on good terms with the managers ,0,Helpful,Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""work life balance""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35762338.htm,9 September 2020,5.0,I have been working at Walmart full-time,Current Employee - SDE-1,best at work  nice ambience,1,work from home is nice,0,Helpful,Recommends,,,,
"""Best company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35728427.htm,8 September 2020,5.0,I have been working at Walmart full-time for more than 8 years,Current Employee - Senior Software Development Manager,work life balance  technology  business  exposure  management inclusion,1,priority changes should be contained,0,Helpful,Recommends,in Bangalore,Bangalore,Approves of CEO,
"""Bad Culture! Think twice before joining walmart or dont join""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37121737.htm,14 October 2020,1.0,I have been working at Walmart full-time for more than a year,Current Employee - Senior Software Engineer,good pay  good perks in idc,1,low level politics across org specially in supplychain/csii work life balance is major issue need to work till 3am daily  managers are incompetent and adment  no technical growth  system is always broken people slog to get systems up and running,0,Helpful,Doesn't Recommend,in Bangalore,Bangalore,Negative Outlook,Disapproves of CEO
"""Great experience but comes at the cost of work life balance""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35692940.htm,7 September 2020,4.0,I have been working at Walmart full-time for more than a year,Current Employee - Associate Product Manager,good compensation and very good product community,1,work life balance due to cross geographical work,0,Helpful,Recommends,in Bangalore,Bangalore,Positive Outlook,Approves of CEO
"""Is a very big company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35714488.htm,7 September 2020,4.0,I worked at Walmart full-time,Former Employee - Commercial Truck Driver,i would say proudly that i work at walmart,1,no  what is the challenge in working,0,Helpful,,,,,
"""Great company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35989891.htm,15 September 2020,3.0,I worked at Walmart full-time for less than a year,Former Employee - Software Engineer -2,better facilities  infrastructure and work culture,1,work load varies with team ,0,Helpful,,in Bangalore,Bangalore,,
"""Senior Buyer Walmart""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35223519.htm,24 August 2020,5.0,I worked at Walmart full-time for more than a year,Former Employee - Senior Buyer,superb culture and top management support,1,no cons apart from tight system controls which delay the work,0,Helpful (1),,"in Gurgaon, Haryana","Gurgaon, Haryana",,
